Year,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde ,Highland ,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2010,31,9,6,35,18,44,158,10,62,73,2,2,34,1
2011,47,8,12,34,26,58,183,33,61,73,0,3,45,1
2012,43,7,6,38,31,31,187,22,67,90,1,2,55,1
2013,36,8,9,39,24,50,138,18,75,90,1,0,37,2
2014,43,11,14,46,25,36,189,25,67,105,0,4,48,1
2015,43,13,11,44,31,69,221,35,73,100,1,1,63,1
2016,85,10,17,45,51,68,257,29,113,128,1,1,62,1
2017,61,13,22,66,36,85,280,32,102,137,1,2,94,3
2018,82,22,20,64,72,92,394,45,130,152,3,0,109,2
2019,108,17,35,81,75,82,404,39,163,155,1,2,118,0
2020,106,18,22,65,77,99,444,49,185,159,3,4,105,3
2021,100,17,35,70,69,110,427,44,181,180,1,4,89,3
2022,82,13,37,59,47,75,300,55,135,166,1,3,77,1
2023,83,11,12,73,62,83,355,42,174,182,1,5,84,5
